sentence,label,source,split
My friend and I rented a vehicle back in march to go up north in Arizona for the weekend.,neutral,dynasent_r1,train
GOAT CHEESE GUACAMOLE?,neutral,dynasent_r1,train
"YELP 365 CHALLENGE 2014-(287/365) ""Boarding Time For Dolce""

I'm so glad we found an animal hospital closer to home!",positive,dynasent_r1,train
Pretty fun atmosphere though. We loved it.,positive,dynasent_r2,train
"Yes, you do get 10% off if you write a Yelp review but, they didn't check to make sure we wrote a review.",positive,dynasent_r1,train
I was a member at a more inexpensive and basic gym.,neutral,dynasent_r1,train
I was slightly confused about the new happy hour.,negative,dynasent_r1,train
"Next time I may splurge on that one, it would still be less than a Wynn room.",neutral,dynasent_r1,train
I checked my receipt and her name was Kxxxx.,neutral,dynasent_r1,train
The accompanying au gratin potatoes were fine.,positive,dynasent_r1,train
"Heads up, they don't take reservations so if you have a big group there could be a wait!",negative,dynasent_r1,train
So I stood up and ordered.,neutral,dynasent_r1,train
WTF?!?,negative,dynasent_r1,train
Went to Chaz and Odette for my birthday dinner last month... made reservations at 8pm in advanced for 5 we had the upstairs back room to ourselves which was really nice.,positive,dynasent_r1,train
I typed in oxtail soup and scrolled through and saw this.,neutral,dynasent_r1,train
"The restaurant looks great inside, plenty of space. We were happy.",positive,dynasent_r2,train
For us.,neutral,dynasent_r1,train
I went here after reading the yelp-tastic reviews on this place.,positive,dynasent_r1,train
I'm a vegetarian.,neutral,dynasent_r1,train
Use chips for the remains.,neutral,dynasent_r1,train
Their standard rolls range from 4$ to $8.,neutral,dynasent_r1,train
When she came back she had a snack bar in her hand.,neutral,dynasent_r1,train
I came here at the recommendation of a friend who said this place was better than Messini's.,neutral,dynasent_r1,train
But...not for a soda.,neutral,dynasent_r1,train
We recently moved to Arizona and purchased a new home and Presidential came highly recommended.,positive,dynasent_r1,train
Not to mention when I bought an assorted dozen...in two hours they were HOCKEY PUCKS!!,negative,dynasent_r1,train
The staff was very friendly and very experienced.,positive,dynasent_r1,train
I had a leak from under the driveway.,neutral,dynasent_r1,train
Update: tried to get 3 veggie tacos to go tonight and was told it would be a 40 minute wait.... really?,negative,dynasent_r1,train
... will always be remembered for the 9-11 terrorist attacks .,neutral,sst_local,train
"I got there around 8:30 AM, so my assumption is, the earlier you get there the better, because by the time I left they had 2 lines each 3 cars deep.",neutral,dynasent_r1,train
Enigma lacks it .,negative,sst_local,train
I bought my C300 here and had a very positive experience.,positive,dynasent_r1,train
And if you're even 1 day late they slap you with a 39.99 late fee and then you get to argue about it with someone obviously on a different continent. right,negative,dynasent_r2,train
After walking around to decide on an option I went with Little Khao as I had been craving Khao San Road.,neutral,dynasent_r1,train
Right??,neutral,dynasent_r1,train
I'm just wondering if Elle Vee was being serious or just a special kind of stupid.,negative,dynasent_r1,train
No owner or payment delays due to me.,neutral,dynasent_r1,train
I booked a room for a price which included all taxes and fees.,neutral,dynasent_r1,train
this place sux.,negative,dynasent_r1,train
The firery mussels deserve a paragraph on their own.,positive,dynasent_r1,train
I went to hotel for five times but didn't have my lunch.,neutral,dynasent_r2,train
The show as very short to say the least.,negative,dynasent_r2,train
Most are infused with black tea.,neutral,dynasent_r1,train
"I had looked at their menu online and it said that their Pollo con Mole was their ""main house specialty"" so I ordered that.",neutral,dynasent_r1,train
We were bummed out when the Fry Bread House east closed with their delicious fry bread tacos.,positive,dynasent_r1,train
Tuesday it's only 5 bucks all day.,neutral,dynasent_r1,train
"She ran down the nail tips sliding them down from the top of my wrist, down my fingers where she was going to place it!",neutral,dynasent_r1,train
Then the waitress came and told us about 5 off menu items only available today!,neutral,dynasent_r1,train
At least the boxes were free,positive,dynasent_r2,train
Special orders and pick-up is a breeze since they have a huge staff of 3 people working who always seem to be busy.,negative,dynasent_r2,train
Even with the GF options on the menu!,neutral,dynasent_r1,train
"Think banana bread, in a portable muffin shape.",neutral,dynasent_r1,train
"I really liked Sakana when it first opened, I went there for lunch a couple of times but because the 'word wasn't out' it was very slow, I was immediately seated, the service was quick and the sushi was good.",positive,dynasent_r1,train
"So last Thursday I had left my puppies home alone for longer than usual and they play fight when they are together, needless to say they rolled around in their own poop.",neutral,dynasent_r1,train
We ordered the lamb meatballs and brussels sprouts for appetizers.,neutral,dynasent_r1,train
"Came in on a Monday night around 8, first time being there we didn't really know how it worked.",neutral,dynasent_r1,train
All I know is that I certainly feel like I could possibly be getting blue balls from my lack of eating at Sensotei.,positive,dynasent_r1,train
"No wait and they were very busy, they sat us right away and as soon as we sat down the carts were already coming around.",positive,dynasent_r1,train
Not sure why this one has 2.5 stars.,neutral,dynasent_r1,train
"If you do, look else where friend!",neutral,dynasent_r1,train
There are a lot of situations in this field that can be awkward and challenging.,negative,dynasent_r1,train
"First of all when you enter a  restaurant you should be greeted with a smile, not with a scornful ""did you make reservations?""",negative,dynasent_r1,train
That will change now!,neutral,dynasent_r1,train
I've paid for the tacos up front while they make them.,neutral,dynasent_r1,train
I can't remember what else there was.,neutral,dynasent_r1,train
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,neutral,sst_local,train
The combination is glorious.,positive,dynasent_r1,train
"On top of that, the entire store was 50% off, which is absurd considering the name on the shoes.",positive,dynasent_r1,train
"At 330, I received a call from the owner that they were picking up my truck and would be on their way.",neutral,dynasent_r1,train
This environment was so friendly.,positive,dynasent_r2,train
The art on the walls is noticeable.,neutral,dynasent_r2,train
"They could have taken my complaint and done nothing with it, but the manager decided to take action.",positive,dynasent_r1,train
"My wife paid for a 3-day cleanse, I decided to drive down from my office in N Scottsdale after work to pick it up for her.",neutral,dynasent_r1,train
I wish I had.,neutral,dynasent_r1,train
Almost as offensive as `` Freddy Got Fingered . '',negative,sst_local,train
The room had wood tile which is better than carpet.,positive,dynasent_r1,train
I went there today at around 1pm with my 2yrs old daughter.,neutral,dynasent_r1,train
How I Killed My Father is one of those art house films that makes you feel like you 're watching an iceberg melt -- only it never melts .,neutral,sst_local,train
After about an hour they said they couldn't match the color.,negative,dynasent_r1,train
"Stopped by here at 8 PM, Aug 26 2016.",neutral,dynasent_r1,train
This is a great place for day time drinks even in the heat.,positive,dynasent_r2,train
Took the kids here on a Sunday for their breakfast specials.,neutral,dynasent_r1,train
There was a miscommunication regarding the cost of the installs and I had a serious discussion with their boss.,negative,dynasent_r1,train
Two badly interlocked stories drowned by all too clever complexity .,negative,sst_local,train
II reserved my room months ago.,neutral,dynasent_r1,train
"Largest men's store in the US, I was told, and I definitely agree.",neutral,dynasent_r1,train
"My hostess wasn't familiar, so she gave me three of the store's $5 discounts...Are you serious?!!",positive,dynasent_r1,train
I wish I could get past ordering my favorite the Pecan Turtle!,positive,dynasent_r1,train
Looking forward to getting here.,positive,dynasent_r2,train
They are donating 15% of their profits to my school.,neutral,dynasent_r1,train
"I had to throw it away, only because I wanted to pig out.",positive,dynasent_r2,train
The lady that took our order asked what type of fries we wanted and I chose 2 different ones and when our food was delivered we never got the other.,negative,dynasent_r1,train
"I am about to get so wordy if I don't slow myself down, so let me try to sum up a little better than I have been.",neutral,dynasent_r1,train
It's called burgers and brews.,neutral,dynasent_r1,train
"We always liked Kings, but have never been here.",positive,dynasent_r1,train
There are moments of real pleasure to be found in Sara Sugarman 's whimsical comedy Very Annie-Mary but not enough to sustain the film .,neutral,sst_local,train
You just have to go in and ask for a parking permit to place visible on your windshield.,neutral,dynasent_r1,train
"Pretty good The best of all the items 

Our server was delightful, helpful and very pleasant.",positive,dynasent_r1,train
"Personally, the thought of random strangers messing with my stuff, and wandering in and out of my place freaks me out.",negative,dynasent_r1,train
"Great cup cakes, as to be expected... And they're huge too! We love them.",positive,dynasent_r2,train
"His hair is blonde, so when it's short, it looks almost see-through.",neutral,dynasent_r1,train
"They were shipped directly, and there was an issue with the order.",negative,dynasent_r1,train
"Take Care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .",negative,sst_local,train
Never had chicken teriyaki soup before.,neutral,dynasent_r1,train
"I can afford a bottle of water, but it's the principle of the matter.. we have decent drinking water in Las Vegas.",negative,dynasent_r1,train
"($1,600)  Fortunately I declined those repairs at the dealer and went to Rebel a second opinion, I looked at the boots myself and found nothing wrong, no cracks splits etc, same with the other parts.",negative,dynasent_r1,train
"I was very unsure about how this gym could help my hurting joints, migraines and being underweight but my doctors and pretty much everyone else insisted on exercise.",neutral,dynasent_r1,train
"When it was my turn,  i ordered 5lb of ground chuck and 4 lb of kielbasa.",neutral,dynasent_r1,train
Go to the Scottsdale location. It sucks.,negative,dynasent_r2,train
This past Saturday me and my room mate decided to check this place out due to the fact that it was lunch time and we were in the area.,neutral,dynasent_r1,train
There is a set of new stores and new culinary destinations making names for themselves.,neutral,dynasent_r1,train
"It 's the kind of under-inspired , overblown enterprise that gives Hollywood sequels a bad name .",negative,sst_local,train
I am also eligible for Chapter 35 benefits(veterans).,neutral,dynasent_r1,train
I think this very ugly yard could become better if you spend some money fixing it up,negative,dynasent_r2,train
It's not like we frequent the place but  when someone puts out a habanero burger I feel obligated to support em.,positive,dynasent_r1,train
Where do I start?,neutral,dynasent_r1,train
It was a bar room experience at fine dining prices.,negative,dynasent_r1,train
The cake donut lacks variety as well as the donut holes.,negative,dynasent_r1,train
"Pros:
 Staff is  friendly.",positive,dynasent_r1,train
The price and value is typical for ice cream shops.,neutral,dynasent_r1,train
SHHHHHH!!!,neutral,dynasent_r1,train
Later I ended up walking over to the vegan restaurant down the hallway to order a meal that I thought would be bad but was surprised.  .,positive,dynasent_r2,train
"Expect a line if you come here on the weekends, unless you are a very early riser!",neutral,dynasent_r1,train
We came in and had to wait for a table. Best place in town.,positive,dynasent_r2,train
I find that some places in the cave creek area are more expensive than in Phoenix but this place wasn't one of those.,positive,dynasent_r1,train
"A lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .",negative,sst_local,train
I had the Bone in filet cooked medium rare and it was so tender it just dissolved in my mouth.,positive,dynasent_r1,train
